,SMILES,Cc ,Upper,Lower
53,CCCCCCCCCCCCOCCOCCOCCOCCO,1.8876,1.86,1.798
54,CCCCCCCCCCCCOCCOCCOCCOCCOCCO,0.7705000000000001,0.899,0.775
55,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,-0.346,-0.205,-0.675
56,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,-0.3512499999999999,-0.4185,-1.0385
57,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,-1.4725,-1.0075,-1.9375
58,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,-3.525,,
59,CCCCCCCCCCCOCCOCCOCCOCCOCCO,-1.1,-0.7000000000000001,-1.5
60,CCCCCCCCCCOCCOCCOCCOCCO,1.28525,1.3015,1.2395
61,CCCCCCCCCCOCCOCCOCCOCCOCCO,0.1719999999999999,0.27,0.146
62,CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,-0.7780000000000001,-0.3359999999999999,-0.976
63,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,-1.7000000000000002,,
64,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,-4.7,,
65,CCCCCCCCCCc1ccc(OCCOCCO)cc1,1.037,,
66,CCCCCCCCCCc1ccc(OCCOCCOCCOCCOCCO)cc1,0.115,,
67,CCCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,1.651,,
68,CCCCCCCCCOC(O)COCCOCCOCCOCCOCCOCCO,-3.3,-2.6,2.6
69,CCCCCCCCCOCCOCCOCCOCCO,-0.975,-0.7899999999999999,-1.13
70,CCCCCCCCCOCCOCCOCCOCCOCCO,-1.025,-0.76,-1.29
71,CCCCCCCCCOCCOCCOCCOCCOCCOCCOCC(O)CO,-3.32,,
72,CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCO)cc1,-0.1,0.1,-0.3
73,CCCCCCCCOCCOCCOCCO,1.7959999999999998,1.824,1.7599999999999998
74,CCCCCCCCOCCOCCOCCOCCO,0.3659999999999999,0.496,0.368
75,CCCCCCCCOCCOCCOCCOCCOCCO,-0.5893333333333334,-0.224,-0.544
76,CCCCCCCCOCCOCCOCCOCCOCCOCCO,-1.008,-0.688,-1.328
77,CCCCCCOCCOCCO,2.152,1.936,1.872
78,CCCCCCOCCOCCOCCO,0.528,0.5920000000000001,0.464
79,CCCCCCOCCOCCOCCOCCO,-0.24,-0.0799999999999999,-0.4
80,CCCCOCCO,1.44,1.472,1.408
81,CCCCOCCOCCO,0.192,0.256,0.128
