,SMILES,Cc ,Upper,Lower
53,CCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COCCOCCOS(=O)(=O)[O-],0.0314,,
54,CCCCCCCCCCOCCOCCOCCOCCO,1.28525,1.3015,1.2395
55,CCCCCCCCCCOCCOCCOCCOCCOCCO,0.1719999999999999,0.27,0.14600000000000002
56,CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,-0.7780000000000001,-0.3359999999999999,-0.976
57,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,-1.7000000000000002,,
58,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,-4.7,,
59,CCCCCCCCCCc1ccc(OCCOCCO)cc1,1.037,,
60,CCCCCCCCCCc1ccc(OCCOCCOCCOCCOCCO)cc1,0.115,,
61,CCCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,1.651,,
62,CCCCCCCCCOC(O)COCCOCCOCCOCCOCCOCCO,-3.3,-2.5999999999999996,2.5999999999999996
63,CCCCCCCCCOCCOCCOCCOCCO,-0.975,-0.7899999999999999,-1.13
64,CCCCCCCCCOCCOCCOCCOCCOCCO,-1.0250000000000001,-0.76,-1.29
65,CCCCCCCCCOCCOCCOCCOCCOCCOCCOCC(O)CO,-3.32,,
66,CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCO)cc1,-0.1,0.1,-0.3
67,CCCCCCCCOCCOCCOCCO,1.7959999999999998,1.8239999999999998,1.7599999999999998
68,CCCCCCCCOCCOCCOCCOCCO,0.36599999999999994,0.49600000000000005,0.36800000000000005
69,CCCCCCCCOCCOCCOCCOCCOCCO,-0.5893333333333334,-0.224,-0.544
70,CCCCCCCCOCCOCCOCCOCCOCCOCCO,-1.008,-0.688,-1.328
71,CCCCCCOCCOCCO,2.152,1.9360000000000002,1.872
72,CCCCCCOCCOCCOCCO,0.528,0.5920000000000001,0.464
73,CCCCCCOCCOCCOCCOCCO,-0.24,-0.07999999999999999,-0.4
74,CCCCOCCO,1.44,1.472,1.408
75,CCCCOCCOCCO,0.192,0.256,0.128
